ticker,grade,entry_date,entry_price,exit_date,exit_price,shares,pnl,pnl_pct,hold_days,exit_reason,components
ORCL,A-,2026-02-03,158.25999450683594,2026-02-06,142.82000732421875,0.604202820771065,-9.328883808406394,-9.756089800666755,3,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 11.255537053142536, 'earnings': 0, 'social': 1.2591841224100517}"
AMD,A-,2026-02-09,206.89999389648438,2026-02-13,207.32000732421875,0.5488826420620843,0.23053807991639605,0.20300311267506124,4,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 7.534244918360119, 'earnings': 0, 'social': 5.872160120537865}"
NVDA,A-,2026-02-09,184.25999450683594,2026-02-13,182.80999755859375,0.49305901955106507,-0.7149340736523294,-0.7869298770593383,4,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 10.869274572877298, 'earnings': 0, 'social': 1.7392495764153866}"
AVGO,A-,2026-02-09,330.7699890136719,2026-02-13,325.1700134277344,0.21973227378925234,-1.2304953686623474,-1.6930119938136325,4,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 8.79082757196824, 'earnings': 0, 'social': 1.6009860496000423}"
ADBE,A-,2026-02-18,260.45001220703125,2026-02-20,258.6099853515625,0.43471235059898083,-0.7998823995060715,-0.7064798499629618,2,FRIDAY_CLOSE,"{'momentum': 15, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 11.470942836554528, 'earnings': 5, 'social': 5.799358648931395}"
AVGO,A-,2026-02-18,329.5199890136719,2026-02-20,332.6499938964844,0.2748745831388195,0.8603587873855556,0.9498679859092357,2,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 11.006562375097724, 'earnings': 0, 'social': 0.28238056138549017}"
ORCL,A,2026-02-23,145.69000244140625,2026-02-27,145.39999389648438,0.7772182744191238,-0.22539994085098064,-0.19905864511088256,4,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 11.407485891920096, 'earnings': 0, 'social': 5.552491688140629}"
ORCL,A,2026-02-25,149.16000366210938,2026-02-27,145.39999389648438,0.6073098928269435,-2.2834911277899796,-2.520789536947526,2,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 10.890100468717621, 'earnings': 0, 'social': 4.698447366117012}"
NFLX,A-,2026-02-26,83.19999694824219,2026-02-27,96.23999786376953,0.8710225880845158,11.358135346067083,15.673078598355461,1,FRIDAY_CLOSE,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 10.699730170221237, 'earnings': 0, 'social': 0.11522369949136868}"
ADBE,A,2026-03-02,257.6000061035156,2026-03-04,273.1199951171875,0.44643935725257505,6.928733919830698,6.024840312866772,2,END_OF_PERIOD,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 9.578145391697582, 'earnings': 0, 'social': 5.765581258523936}"
AAPL,A-,2026-03-02,262.4100036621094,2026-03-04,262.5199890136719,0.35060486886375125,0.03856139976150389,0.041913551323341305,2,END_OF_PERIOD,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 7.867883713793047, 'earnings': 0, 'social': 5.223330444834637}"
TSLA,A,2026-03-03,395.0899963378906,2026-03-04,405.94000244140625,0.18629117573264556,2.0212603937303064,2.7462112946632122,1,END_OF_PERIOD,"{'momentum': 25, 'range': 15, 'volume': 10, 'market': 10, 'news_sentiment': 11.504434607108095, 'earnings': 0, 'social': 5.6192611071213925}"
